Carimbo de data/hora,Nome da Instituição:,CNES:,Data:,Responsável pelo preenchimento:,Quantidade de leitos clínicos SUS totais:,Quantidade de leitos clínicos SUS ocupados:,Quantidade de leitos clínicos convênios/particulares totais:,Quantidade de leitos clínicos convênios/particulares ocupados:,Quantidade de leitos cirúrgicos SUS totais:,Quantidade de leitos cirúrgicos SUS ocupados:,Quantidade de leitos cirúrgicos convênios/particulares totais:,Quantidade de leitos cirúrgicos convênios/particulares ocupados:,Quantidade de leitos pediátricos SUS totais:,Quantidade de leitos pediátricos SUS ocupados:,Quantidade de leitos pediátricos convênios/particulares totais:,Quantidade de leitos pediátricos convênios/particulares ocupados:,Quantidade de leitos de UTIA SUS totais:,Quantidade de leitos de UTIA SUS ocupados:,Quantidade de leitos de UTIA convênios/particulares totais:,Quantidade de leitos de UTIA convênios/particulares ocupados:,Quantidade de leitos de UTI Neo e Ped SUS totais:,Quantidade de leitos de UTI Neo e Ped SUS ocupados:,Quantidade de leitos de UTI Neo e Ped convênios/particulares totais:,Quantidade de leitos de UTI Neo e Ped convênios/particulares ocupados:,Quantidade de leitos de GO/obstetrícia SUS totais:,Quantidade de leitos de GO/obstetrícia SUS ocupados:,Quantidade de leitos de GO/obstetrícia convênios/particulares totais:,Quantidade de leitos de GO/obstetrícia convênios/particulares ocupados:,Quantidade de pacientes em isolamento que necessitam de quarto privativo (ex.: quartos com 02 leitos ocupados com apenas 01 paciente em isolamento):,Quantidade de leitos de UCINCo/UCINCa SUS totais:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares ocupados:,Quantidade de leitos de UCINCo/UCINCa SUS ocupados:,Quantidade de leitos de UCINCo/UCINCa convênios/particulares totais:,Anexar censo diário por tipo de clínica (censo hospitalar gerado pelo sistema utilizado na instituição):,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6
27/06/2025 11:33:00,Santa Casa de Ituverava,2751704,27.06.2025,,30,23,19,8,11,13,8,1,5,2,3,0,9,8,1,2,0,0,0,0,12,2,10,0,,0,0,0,0,https://drive.google.com/open?id=1Qt62pZI-y11-3RbgOrQG_eEw45MqYDQw,,,,,,
27/06/2025 13:39:00,Santa Casa de Franca,2705982,27/06/2025,,115,93,8,9,81,65,14,1,24,23,0,0,48,44,2,5,24,21,1,0,36,29,0,0,,17,0,12,1,https://drive.google.com/open?id=1vVYOwJ33lvKGIkmfpMugbB8c9orC8f6j,,,,,,
27/06/2025 14:11:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,27.06.2025,,44,28,16,8,10,5,7,1,4,0,2,0,8,9,2,2,0,0,0,0,12,2,8,4,,0,0,0,0,https://drive.google.com/open?id=1_Ih5yOD5oivQrk_Zvfv_pn1J7rnqkLV6,,,,,,
28/06/2025 12:05:00,Santa Casa de Ituverava,2751704,28.06.2025,,30,19,19,9,11,9,8,1,5,1,3,0,9,7,1,2,0,0,0,0,12,1,10,0,,0,0,0,0,https://drive.google.com/open?id=1UI9-wgJsL1ianfMMSylsp9s6NaGRhqQx,,,,,,
28/06/2025 13:51:00,SANTA CASA DE FRANCA,2705982,28/06/2025,,115,89,8,10,81,66,14,3,24,21,0,0,48,39,2,5,24,21,1,0,36,29,0,0,,17,0,12,1,https://drive.google.com/open?id=1TPnHDUeIi6vB8OZqzsUMBxPnmaTHg65q,,,,,,
28/06/2025 14:32:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,28.06.2025,,44,31,16,7,10,2,7,3,4,1,2,0,8,6,2,2,0,0,0,0,12,1,8,2,,0,0,0,0,https://drive.google.com/open?id=1WYX6WOnItOkWeWD-ZwdboGPecAIn44bU,,,,,,
29/06/2025 13:52:00,SANTA CASA DE FRANCA,2705982,29.06.2025,,115,90,8,11,81,64,14,4,24,22,0,0,48,39,2,3,24,21,1,0,36,31,0,0,,17,0,12,1,https://drive.google.com/open?id=1HItL1o4_WU0MlYglNz8KVkGnT4rsIfnx,,,,,,
30/06/2025 10:19:00,Santa Casa Ituverava,2751704,30.06.2025,,30,22,19,7,11,7,8,1,5,1,3,1,9,7,1,3,0,0,0,0,12,1,10,2,,0,0,0,0,https://drive.google.com/open?id=1c7xdaJNICkHNMzjZ1smZlk7eF9mf51Df,,,,,,
30/06/2025 14:45:00,SANTA CASA DE MISERICORDIA DE SÃƒO JOAQUIM DA BARRA,2080044,30/06/2025,,44,38,16,8,10,10,7,7,4,2,2,0,8,5,2,3,0,0,0,0,12,0,8,1,,0,0,0,0,https://drive.google.com/open?id=1ReIrv6MTBqBaDugocOUTnJYfPLCfClWl,,,,,,
01/07/2025 16:29:00,Santa Casa de Franca,2705982,30.06.2025,,115,122,8,8,81,94,14,5,24,27,0,0,48,41,2,2,24,21,1,0,36,38,0,0,,18,0,15,0,https://drive.google.com/open?id=1AZ0PB7kQs8JZxIH4seoCVaWkluiN_-Dw,,,,,,
